LOAN_ID,CUSTOMER_ID,AGE,GENDER,STATE,OCCUPATION,MONTHLY_INCOME,LOAN_PRODUCT,LOAN_AMOUNT,SANCTION_AMOUNT,LOAN_TENURE,INTEREST_RATE,EMI_AMOUNT,BUREAU_SCORE,VINTAGE_MONTHS,CURRENT_DPD,MAX_DPD,OUTSTANDING_BALANCE,COLLECTION_BUCKET,LOAN_STATUS,DEFAULT_FLAG,WRITE_OFF_FLAG,DISBURSAL_DATE,LAST_PAYMENT_DATE,INCOME_IMPUTED,BUREAU_IMPUTED,FOIR,EMI_INCOME_RATIO_PCT,CREDIT_UTILIZATION,IS_DELINQUENT,LOAN_TO_INCOME,RISK_LABEL,APPROVAL_LABEL
LN0000033,CUST000377,33,Female,Rajasthan,Salaried,71276.0,Personal Loan,399534,343726,12,16.15,31210.96,741.0,16,0,150,207283,Current,Active,0,0,2021-05-15,2022-08-12,0,0,0.4379,43.8,0.603,0,0.4,Medium Risk,Approve with Conditions
LN0000739,CUST000028,37,Male,Uttar Pradesh,Salaried,22258.0,Home Loan,1200000,792604,240,8.5,6878.4,602.0,50,60,60,432005,31-60,Delinquent,0,0,2022-04-18,2026-03-15,0,0,0.309,30.9,0.545,1,2.97,High Risk,Reject
LN0000674,CUST000343,43,Female,Madhya Pradesh,Salaried,48895.0,Personal Loan,404888,322641,18,21.59,21142.69,745.0,58,0,90,290651,Current,Active,0,0,2024-11-13,2029-07-31,0,0,0.4324,43.2,0.9008,0,0.55,Low Risk,Approve with Conditions
LN0000644,CUST000602,37,Male,Madhya Pradesh,Professional,34402.0,Consumer Durable Loan,92620,87382,12,15.58,7910.89,791.0,57,0,90,49332,Current,Active,0,0,2020-07-17,2025-03-02,0,0,0.23,23.0,0.5646,0,0.21,Low Risk,Approve with Conditions
LN0000315,CUST000027,33,Male,Telangana,Professional,50297.0,Home Loan,5914489,4854304,240,17.02,71276.8,766.0,35,0,45,4278584,Current,Active,0,0,2023-03-27,2023-02-01,0,0,1.0,100.0,0.8814,0,8.04,Medium Risk,Reject
LN0000219,CUST000216,61,Female,Maharashtra,Self Employed,82686.0,Vehicle Loan,1141699,714044,36,12.88,24017.71,622.0,68,7,60,140777,1-30,Active,0,0,2021-05-18,2026-12-03,0,0,0.2905,29.0,0.1972,1,0.72,High Risk,Reject
LN0000840,CUST000508,35,Male,Uttar Pradesh,Salaried,88587.0,Home Loan,6862862,4783906,120,10.29,63990.41,679.0,69,0,60,3975726,Current,Active,0,0,2021-06-21,2027-02-09,0,0,0.7223,72.2,0.8311,0,4.5,Medium Risk,Reject
LN0000982,CUST000159,50,Female,Delhi,Salaried,18985.0,Home Loan,5283110,4586896,300,13.63,53920.18,725.0,21,0,15,4090967,Current,Active,0,0,2025-04-28,2027-01-15,0,0,1.0,100.0,0.8919,0,20.13,Medium Risk,Reject
LN0000827,CUST000244,35,Male,Rajasthan,Salaried,57003.0,Home Loan,4671786,3791684,240,15.66,51787.22,667.0,15,0,75,534885,Current,Active,0,0,2022-02-08,2023-04-11,0,0,0.9085,90.8,0.1411,0,5.54,Medium Risk,Reject
LN0000559,CUST000380,30,Female,Rajasthan,Professional,26577.0,Consumer Durable Loan,100556,89388,9,11.65,10420.33,819.0,69,45,45,37580,31-60,Delinquent,0,0,2022-02-04,2027-07-24,0,0,0.3921,39.2,0.4204,1,0.28,Medium Risk,Approve with Conditions
LN0000311,CUST000676,61,Female,Gujarat,Salaried,88088.0,Consumer Durable Loan,73374,65536,24,9.33,3003.93,738.0,48,45,45,44896,31-60,Delinquent,0,0,2021-09-06,2025-06-08,0,0,0.0341,3.4,0.6851,1,0.06,Medium Risk,Approve with Conditions
LN0000293,CUST000442,38,Male,Tamil Nadu,Salaried,75591.0,Consumer Durable Loan,10000,10000,24,19.58,506.91,705.0,1,45,60,7307,31-60,Delinquent,0,0,2025-10-22,2025-08-26,0,0,0.0067,0.7,0.7307,1,0.01,Medium Risk,Approve with Conditions
LN0000002,CUST000571,55,Male,West Bengal,Self Employed,105514.0,Home Loan,7373952,5728370,180,14.08,76595.21,702.0,37,120,120,4956047,90+,Delinquent,1,1,2024-04-05,2026-12-04,0,0,0.7259,72.6,0.8652,1,4.52,High Risk,Reject
LN0000396,CUST000512,33,Female,Telangana,Salaried,66958.0,Vehicle Loan,1118647,898172,60,16.98,22312.23,721.0,13,30,45,262376,1-30,Active,0,0,2023-05-08,2024-03-19,0,0,0.3332,33.3,0.2921,1,1.12,Medium Risk,Approve with Conditions
LN0000177,CUST000581,40,Male,Karnataka,Salaried,43020.5,MSME Loan,1535373,1146400,48,18.08,33723.44,598.0,60,0,120,864878,Current,Active,0,0,2020-03-28,2025-02-12,1,0,0.7839,78.4,0.7544,0,2.22,High Risk,Reject
LN0000019,CUST000056,31,Female,Delhi,Salaried,56474.0,Consumer Durable Loan,111101,80595,12,18.55,7410.06,654.0,29,0,45,31542,Current,Active,0,0,2026-01-03,2028-04-08,0,0,0.1312,13.1,0.3914,0,0.12,Medium Risk,Approve with Conditions
LN0000541,CUST000289,21,Female,Rajasthan,Salaried,106927.0,Vehicle Loan,249782,213093,60,17.74,5381.07,719.0,59,15,30,93012,1-30,Active,0,0,2021-03-27,2026-01-05,0,0,0.0503,5.0,0.4365,1,0.17,Medium Risk,Approve with Conditions
LN0000288,CUST000502,41,Female,Delhi,Business,55778.0,MSME Loan,1656954,1255482,24,21.85,65039.13,700.0,38,0,75,893416,Current,Active,0,0,2024-04-03,2027-05-01,0,0,1.0,100.0,0.7116,0,1.88,Medium Risk,Reject
LN0000268,CUST000116,56,Male,Gujarat,Business,59763.0,Vehicle Loan,1386971,1081223,36,4.5,36555.79,689.0,38,7,60,453693,1-30,Active,0,0,2021-03-01,2024-03-21,0,0,0.6117,61.2,0.4196,1,1.51,Medium Risk,Approve with Conditions
LN0000533,CUST000228,28,Female,Madhya Pradesh,Salaried,83051.0,Personal Loan,634919,414520,60,11.99,9218.67,643.0,16,15,75,344645,1-30,Active,0,0,2022-05-23,2023-08-16,0,0,0.111,11.1,0.8314,1,0.42,High Risk,Reject
LN0000771,CUST000433,50,Female,Telangana,Business,59664.0,Consumer Durable Loan,26551,18594,12,19.03,1713.83,618.0,21,0,150,12841,Current,Active,0,0,2021-10-12,2023-06-01,0,0,0.0287,2.9,0.6906,0,0.03,High Risk,Reject
LN0000518,CUST000587,36,Male,Telangana,Self Employed,58471.0,MSME Loan,811048,651884,48,14.61,18013.81,704.0,58,0,30,265570,Current,Active,0,0,2020-02-02,2024-10-25,0,1,0.3081,30.8,0.4074,0,0.93,Low Risk,Approve with Conditions
LN0000712,CUST000119,27,Male,Tamil Nadu,Salaried,53550.0,Consumer Durable Loan,96481,79521,6,31.0,13914.0,732.0,38,0,45,9844,Current,Active,0,0,2025-03-28,2028-04-29,1,0,0.2598,26.0,0.1238,0,0.12,Low Risk,Approve with Conditions
LN0000386,CUST000203,38,Male,Karnataka,Salaried,155196.0,Home Loan,5622797,0,120,9.08,52216.93,686.0,9,0,120,2722243,Current,Active,0,0,2023-09-17,2024-05-02,0,0,0.3365,33.7,1.5,0,0.0,Medium Risk,Approve with Conditions
LN0000878,CUST000667,41,Male,Delhi,Salaried,52530.0,Personal Loan,258631,187789,60,21.59,5142.85,644.0,63,60,60,66841,31-60,Delinquent,0,0,2020-07-17,2025-06-16,0,0,0.0979,9.8,0.3559,1,0.3,High Risk,Reject
LN0000938,CUST000365,58,Female,Gujarat,Salaried,27256.0,Personal Loan,55917,48444,24,16.75,2389.37,745.0,19,0,120,22365,Current,Active,0,0,2022-03-19,2023-10-06,0,0,0.0877,8.8,0.4617,0,0.15,Medium Risk,Approve with Conditions
LN0000603,CUST000234,30,Female,Madhya Pradesh,Salaried,43344.0,Consumer Durable Loan,98518,80310,12,11.25,7107.3,722.0,18,0,15,40133,Current,Active,0,0,2020-04-21,2021-09-14,0,0,0.164,16.4,0.4997,0,0.15,Low Risk,Approve with Conditions
LN0000554,CUST000116,45,Female,Rajasthan,Self Employed,46964.0,Personal Loan,621236,574352,48,16.16,16324.4,834.0,24,0,15,179088,Current,Active,0,0,2020-06-14,2022-06-02,0,0,0.3476,34.8,0.3118,0,1.02,Low Risk,Approve
LN0000224,CUST000062,44,Female,Telangana,Salaried,67907.0,Personal Loan,169547,119368,36,16.1,4202.52,622.0,12,0,0,60938,Current,Active,0,0,2023-09-06,2024-07-25,0,0,0.0619,6.2,0.5105,0,0.15,High Risk,Reject
LN0000881,CUST000238,37,Female,Telangana,Salaried,35091.0,Personal Loan,439513,363773,36,14.27,12480.66,735.0,15,0,90,330666,Current,Active,0,0,2022-03-23,2023-05-23,0,0,0.3557,35.6,0.909,0,0.86,Low Risk,Approve with Conditions
LN0000421,CUST000386,26,Female,West Bengal,Self Employed,44145.0,MSME Loan,2199448,1647162,24,8.5,74872.86,740.0,51,45,45,784430,31-60,Delinquent,0,0,2020-05-05,2024-05-08,0,0,1.0,100.0,0.4762,1,3.11,Medium Risk,Reject
LN0000910,CUST000001,33,Female,Telangana,Business,66030.0,Consumer Durable Loan,75084,55473,18,15.32,3469.03,684.0,48,0,120,42246,Current,Active,0,0,2023-04-24,2027-04-01,0,0,0.0525,5.2,0.7616,0,0.07,Medium Risk,Approve with Conditions
LN0000330,CUST000536,31,Male,Tamil Nadu,Business,72032.0,Vehicle Loan,1297762,1191966,24,8.85,54372.66,850.0,24,30,30,461313,1-30,Active,0,0,2024-04-02,2026-01-07,0,0,0.7548,75.5,0.387,1,1.38,Medium Risk,Reject
LN0000269,CUST000113,22,Male,Madhya Pradesh,Salaried,47552.0,Vehicle Loan,1098165,700748,60,11.97,15577.13,612.0,31,0,150,383665,Current,Active,0,0,2025-12-26,2028-06-12,0,0,0.3276,32.8,0.5475,0,1.23,High Risk,Reject
LN0000894,CUST000149,29,Male,Tamil Nadu,Salaried,42565.0,Vehicle Loan,1161451,880581,48,9.41,22085.13,712.0,53,7,90,514879,1-30,Active,0,0,2024-04-30,2028-08-12,0,0,0.5189,51.9,0.5847,1,1.72,Medium Risk,Approve with Conditions
LN0000116,CUST000270,47,Male,Uttar Pradesh,Salaried,136453.0,Personal Loan,287999,225643,36,20.12,8399.51,651.0,19,7,75,183813,1-30,Active,0,0,2024-10-20,2026-04-26,0,0,0.0616,6.2,0.8146,1,0.14,Medium Risk,Approve with Conditions
LN0000825,CUST000664,30,Male,Rajasthan,Self Employed,56187.0,Consumer Durable Loan,101584,77669,12,16.81,7076.78,674.0,13,0,0,63995,Current,Active,0,0,2022-08-17,2023-08-19,1,0,0.126,12.6,0.8239,0,0.12,Medium Risk,Approve with Conditions
LN0000952,CUST000372,56,Female,Uttar Pradesh,Self Employed,76690.0,Home Loan,5753838,5634396,180,8.7,56146.65,834.0,72,30,30,2852184,1-30,Active,0,0,2024-03-12,2029-12-17,0,0,0.7321,73.2,0.5062,1,6.12,Medium Risk,Reject
LN0000316,CUST000444,45,Female,Gujarat,Business,59603.0,Personal Loan,852109,594263,12,8.5,51831.49,669.0,55,0,15,513129,Current,Active,0,0,2023-02-14,2027-07-11,0,0,0.8696,87.0,0.8635,0,0.83,Medium Risk,Reject
LN0000700,CUST000107,36,Female,Telangana,Salaried,71742.0,Personal Loan,273905,191711,24,8.5,8714.35,676.0,29,0,90,130318,Current,Active,0,0,2025-04-03,2027-07-23,0,0,0.1215,12.2,0.6798,0,0.22,Medium Risk,Approve with Conditions
LN0000921,CUST000077,47,Female,Delhi,Salaried,47324.0,Vehicle Loan,661573,527753,60,17.14,13155.78,671.0,54,0,60,103860,Current,Active,0,0,2022-11-18,2027-03-19,0,0,0.278,27.8,0.1968,0,0.93,Medium Risk,Approve with Conditions
LN0000388,CUST000044,36,Male,Telangana,Salaried,34535.0,MSME Loan,1665214,1658654,60,18.31,42399.12,836.0,1,90,90,653214,61-90,Delinquent,1,0,2024-01-20,2023-10-08,0,0,1.0,100.0,0.3938,1,4.0,High Risk,Reject
LN0000915,CUST000278,37,Female,Karnataka,Salaried,60363.0,Personal Loan,235858,199747,60,16.7,4932.06,693.0,4,0,60,146256,Current,Active,0,0,2020-12-02,2021-03-16,0,1,0.0817,8.2,0.7322,0,0.28,Medium Risk,Approve with Conditions
LN0000924,CUST000606,32,Female,Uttar Pradesh,Salaried,93892.0,Vehicle Loan,886298,823210,60,21.84,22661.34,752.0,52,0,90,458412,Current,Active,0,0,2024-07-22,2028-09-27,0,0,0.2414,24.1,0.5569,0,0.73,Low Risk,Approve with Conditions
LN0000489,CUST000517,21,Male,Gujarat,Self Employed,49346.0,Vehicle Loan,771320,527009,24,14.87,25520.36,680.0,69,0,120,208363,Current,Active,0,0,2021-01-18,2026-09-08,0,0,0.5172,51.7,0.3954,0,0.89,Medium Risk,Approve with Conditions
LN0000969,CUST000041,36,Female,Gujarat,Business,41872.0,Home Loan,6388769,4693570,180,12.77,58676.48,628.0,29,7,75,3385996,1-30,Active,0,0,2022-06-18,2024-09-23,0,0,1.0,100.0,0.7214,1,9.34,High Risk,Reject
LN0000457,CUST000627,21,Male,Gujarat,Salaried,48489.0,Vehicle Loan,423490,311454,36,11.78,10312.03,585.0,34,7,7,266289,1-30,Active,0,0,2021-11-03,2024-07-13,1,0,0.2127,21.3,0.855,1,0.54,High Risk,Reject
LN0000940,CUST000695,38,Female,Gujarat,Self Employed,33473.0,Home Loan,3706490,3239677,180,11.09,37005.37,796.0,67,7,150,3128422,1-30,Active,0,0,2023-12-05,2029-04-19,0,0,1.0,100.0,0.9657,1,8.07,Medium Risk,Reject
LN0000682,CUST000403,23,Female,West Bengal,Salaried,84216.0,Vehicle Loan,590504,456280,48,13.0,12240.85,709.0,49,0,30,171614,Current,Active,0,0,2023-10-19,2027-09-28,0,0,0.1454,14.5,0.3761,0,0.45,Low Risk,Approve with Conditions
LN0000262,CUST000207,36,Male,Gujarat,Self Employed,68877.0,Vehicle Loan,998884,837474,48,10.14,21296.86,704.0,30,15,45,521345,1-30,Active,0,0,2020-12-23,2023-05-21,0,0,0.3092,30.9,0.6225,1,1.01,Medium Risk,Approve with Conditions
LN0000933,CUST000530,21,Female,Delhi,Salaried,47607.0,Personal Loan,791712,545033,24,31.0,28243.02,686.0,23,15,45,498692,1-30,Active,0,0,2020-04-15,2022-02-12,0,0,0.5933,59.3,0.915,1,0.95,Medium Risk,Approve with Conditions
LN0000574,CUST000544,41,Male,Delhi,Self Employed,87061.0,Vehicle Loan,1457491,1256338,24,10.95,58526.04,712.0,40,0,90,172342,Current,Active,0,0,2021-05-12,2024-08-17,0,0,0.6722,67.2,0.1372,0,1.2,Medium Risk,Reject
LN0000016,CUST000111,32,Female,Telangana,Salaried,81313.0,Home Loan,5354889,3977436,300,16.77,56462.86,709.0,69,0,75,1244265,Current,Active,0,0,2020-10-08,2026-04-29,0,0,0.6944,69.4,0.3128,0,4.08,Medium Risk,Reject
LN0000600,CUST000161,32,Female,Madhya Pradesh,Business,31059.0,Personal Loan,161453,120279,36,4.5,3992.11,677.0,15,0,75,86529,Current,Active,0,0,2021-08-04,2022-10-23,0,0,0.1285,12.8,0.7194,0,0.32,Medium Risk,Approve with Conditions
LN0000905,CUST000050,24,Male,Maharashtra,Salaried,52316.0,Vehicle Loan,125474,112346,60,18.62,2890.88,762.0,49,0,15,80196,Current,Active,0,0,2022-01-12,2025-12-26,0,0,0.0553,5.5,0.7138,0,0.18,Low Risk,Approve
LN0000886,CUST000350,51,Female,Telangana,Self Employed,35025.0,Home Loan,2276685,1597954,180,18.45,26252.81,679.0,69,0,45,856053,Current,Active,0,0,2025-12-30,2031-08-01,0,0,0.7495,75.0,0.5357,0,3.8,Medium Risk,Reject
LN0000267,CUST000631,41,Female,Karnataka,Business,40726.0,Personal Loan,590540,412122,48,10.21,10494.09,667.0,5,0,60,85806,Current,Active,0,0,2024-08-28,2025-01-16,0,0,0.2577,25.8,0.2082,0,0.84,Medium Risk,Approve with Conditions
LN0000441,CUST000595,60,Male,Madhya Pradesh,Business,67128.0,Personal Loan,305118,222100,36,17.57,7981.62,605.0,35,0,45,203564,Current,Active,0,0,2020-03-23,2023-01-25,0,0,0.1189,11.9,0.9165,0,0.28,High Risk,Reject
LN0000011,CUST000128,27,Female,Rajasthan,Salaried,55417.0,Home Loan,7671628,0,240,14.5,88196.65,749.0,22,7,60,1053546,1-30,Active,0,0,2024-11-14,2026-08-07,0,0,1.0,100.0,1.5,1,0.0,Medium Risk,Reject
LN0000153,CUST000363,40,Female,Telangana,Business,34643.0,Vehicle Loan,559321,489879,24,13.03,23296.64,737.0,61,75,75,330796,61-90,Delinquent,0,0,2025-05-26,2030-03-07,0,0,0.6725,67.2,0.6753,1,1.18,High Risk,Reject
LN0000724,CUST000651,46,Male,Telangana,Salaried,64125.0,Home Loan,7150911,5995413,180,17.63,94959.66,717.0,15,7,7,2701652,1-30,Active,0,0,2020-06-20,2021-09-06,0,0,1.0,100.0,0.4506,1,7.79,Medium Risk,Reject
LN0000857,CUST000588,37,Female,Telangana,Salaried,80342.0,Consumer Durable Loan,174450,125886,12,13.2,11255.61,685.0,51,0,75,99394,Current,Active,0,0,2022-05-15,2026-06-25,0,0,0.1401,14.0,0.7896,0,0.13,Medium Risk,Approve with Conditions
LN0000523,CUST000202,65,Female,Karnataka,Self Employed,93318.0,MSME Loan,2071034,2014560,24,19.07,101619.71,793.0,35,75,75,621199,61-90,Delinquent,0,0,2021-06-21,2024-02-13,0,0,1.0,100.0,0.3084,1,1.8,High Risk,Reject
LN0000251,CUST000543,41,Female,Karnataka,Salaried,65311.0,Personal Loan,50000,48016,12,18.98,4424.53,797.0,28,0,120,17065,Current,Active,0,0,2021-01-22,2023-04-05,0,0,0.0677,6.8,0.3554,0,0.06,Medium Risk,Approve with Conditions
LN0000936,CUST000121,33,Male,Telangana,Salaried,42937.0,Home Loan,7258502,5691646,240,18.11,88321.95,664.0,26,0,75,3171049,Current,Active,0,0,2020-11-14,2022-12-31,0,0,1.0,100.0,0.5571,0,11.05,Medium Risk,Reject
LN0000119,CUST000587,21,Female,West Bengal,Salaried,52318.0,Vehicle Loan,1209874,915430,36,16.21,32278.79,652.0,35,0,30,233734,Current,Active,0,0,2021-04-29,2024-02-01,0,0,0.617,61.7,0.2553,0,1.46,Medium Risk,Approve with Conditions
LN0000096,CUST000616,34,Female,Delhi,Self Employed,42509.0,Personal Loan,755110,484454,36,13.37,16409.64,642.0,33,30,30,176903,1-30,Active,0,0,2024-05-02,2026-12-15,0,0,0.386,38.6,0.3652,1,0.95,High Risk,Reject
LN0000088,CUST000114,43,Male,Gujarat,Self Employed,50489.0,Personal Loan,50000,48563,18,9.27,2900.26,790.0,69,0,120,7413,Current,Active,0,0,2020-08-18,2026-04-05,1,0,0.0574,5.7,0.1526,0,0.08,Medium Risk,Approve with Conditions
LN0000995,CUST000369,44,Female,Telangana,Business,46983.0,Home Loan,1200000,983009,240,14.02,12238.2,749.0,49,0,45,903382,Current,Active,0,0,2022-04-04,2026-03-08,0,0,0.2605,26.0,0.919,0,1.74,Low Risk,Approve with Conditions
LN0000634,CUST000258,43,Male,Tamil Nadu,Salaried,50557.0,Vehicle Loan,1160735,1005670,60,22.39,27998.97,789.0,19,7,150,335125,1-30,Active,0,0,2023-08-06,2025-01-15,0,0,0.5538,55.4,0.3332,1,1.66,Medium Risk,Approve with Conditions
LN0000234,CUST000028,44,Female,Delhi,Salaried,79890.0,MSME Loan,2202615,1947767,60,14.12,45442.4,701.0,20,0,150,722670,Current,Active,0,0,2020-09-30,2022-04-09,0,0,0.5688,56.9,0.371,0,2.03,Medium Risk,Approve with Conditions
LN0000467,CUST000333,40,Female,Rajasthan,Salaried,112113.0,Home Loan,5129713,4254732,180,13.41,54985.56,776.0,21,0,45,3687863,Current,Active,0,0,2022-06-29,2024-02-28,0,0,0.4904,49.0,0.8668,0,3.16,Low Risk,Approve with Conditions
LN0000892,CUST000237,32,Female,Delhi,Salaried,32623.0,Consumer Durable Loan,135821,122020,12,17.62,11164.74,766.0,61,30,30,21132,1-30,Active,0,0,2024-01-07,2028-11-28,0,0,0.3422,34.2,0.1732,1,0.31,Medium Risk,Approve with Conditions
LN0000294,CUST000639,39,Female,Gujarat,Self Employed,21177.0,Vehicle Loan,995694,854626,48,13.32,23063.44,776.0,53,75,75,329901,61-90,Delinquent,0,0,2020-06-17,2024-07-04,0,0,1.0,100.0,0.386,1,3.36,High Risk,Reject
LN0000899,CUST000334,26,Female,Gujarat,Salaried,96500.0,Personal Loan,146222,96394,18,15.43,6033.04,520.0,46,7,150,20474,1-30,Active,0,0,2023-03-15,2026-11-25,0,0,0.0625,6.2,0.2124,1,0.08,High Risk,Reject
LN0000733,CUST000501,22,Female,Telangana,Salaried,39065.0,Vehicle Loan,536957,474922,48,21.89,14934.58,733.0,20,15,120,254526,1-30,Active,0,0,2021-03-15,2022-10-01,0,0,0.3823,38.2,0.5359,1,1.01,Medium Risk,Approve with Conditions
LN0000569,CUST000525,26,Male,Karnataka,Self Employed,30789.0,Home Loan,4148964,3114264,180,15.66,45003.13,688.0,68,60,150,556683,31-60,Delinquent,0,0,2021-12-14,2027-04-17,0,0,1.0,100.0,0.1788,1,8.43,Medium Risk,Reject
